Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
422,3.516667,2.667013,0.785548,0.774143
423,3.525000,2.667176,0.785574,0.774290
424,3.533333,2.667280,0.785518,0.774442
425,3.541667,2.667384,0.785508,0.774542
426,3.550000,2.667470,0.785521,0.774619
427,3.558333,2.667524,0.785514,0.774713
428,3.566667,2.667600,0.785528,0.774825
429,3.575000,2.667639,0.785519,0.774970
430,3.583333,2.667673,0.785540,0.775162
431,3.591667,2.667647,0.785540,0.775440
432,3.600000,2.667629,0.785530,0.775873
433,3.608333,2.667760,0.785436,0.776728
434,3.616667,2.669542,0.787247,0.778102
435,3.625000,2.667924,0.785494,0.778690
436,3.633333,2.667850,0.785504,0.779311
437,3.641667,2.667652,0.785511,0.779573
438,3.650000,2.668168,0.786180,0.779476
439,3.658333,2.667033,0.785459,0.779045
440,3.666667,2.666563,0.785438,0.778402
441,3.675000,2.665998,0.785442,0.777657
442,3.683333,2.665384,0.785393,0.776969
443,3.691667,2.664744,0.785416,0.776323
444,3.700000,2.663992,0.785676,0.775711
445,3.708333,2.663180,0.786022,0.775169
446,3.716667,2.662271,0.786481,0.774678
447,3.725000,2.661223,0.786936,0.774124
448,3.733333,2.660782,0.788003,0.773603
449,3.741667,2.659685,0.788391,0.773018
450,3.750000,2.658455,0.788527,0.772396
451,3.758333,2.657240,0.788646,0.771696
452,3.766667,2.656196,0.788645,0.771023
453,3.775000,2.655118,0.788693,0.770224
454,3.783333,2.654177,0.788738,0.769337
455,3.791667,2.653308,0.788952,0.768399
456,3.800000,2.652523,0.789315,0.767256
457,3.808333,2.651739,0.789868,0.766099
458,3.816667,2.650882,0.790606,0.764895
459,3.825000,2.649980,0.791523,0.763720
460,3.833333,2.648986,0.792537,0.762568
461,3.841667,2.647865,0.793636,0.761475
462,3.850000,2.646643,0.794793,0.760475
463,3.858333,2.645339,0.795968,0.759510
464,3.866667,2.644136,0.797293,0.758592
465,3.875000,2.642995,0.798704,0.757605
466,3.883333,2.641967,0.800062,0.756528
467,3.891667,2.640985,0.801362,0.755406
